company,amount,other_investors,sector,source_url,source,lead_investor
TAE Technologies,150.0,"['Chevron', 'Google', 'NEA']",Energy,https://www.ctvc.co/a-tale-of-two-fundraises-249/,CTVC,
Aerones,62.0,"['S2G Investments', 'Blume Equity', 'Carbon Equity', 'Change Ventures']",Energy,https://www.ctvc.co/a-tale-of-two-fundraises-249/,CTVC,Activate Capital Partners
Treefera,30.0,"['AlbionVC', 'Endeit Capital', 'Triple Point Ventures', 'Twin Path Ventures']",Carbon,https://www.ctvc.co/a-tale-of-two-fundraises-249/,CTVC,Notion Capital
Manex AI,9.0,"['Lightspeed Venture Partners', 'CDTM Venture Fund (Center for Digital Technology & Management)', 'DI Technology']",Industrials,https://www.ctvc.co/a-tale-of-two-fundraises-249/,CTVC,BlueYard Capital
Alrik,7.0,['Pi Labs'],Built Environment,https://www.ctvc.co/a-tale-of-two-fundraises-249/,CTVC,People Ventures
Atmen,6.0,"['Revent', 'Vireo Ventures']",Built Environment,https://www.ctvc.co/a-tale-of-two-fundraises-249/,CTVC,Project A Ventures
Kumulus Water,4.0,"['Bpifrance', 'Flat6Labs', 'Kalys Ventures', 'PlusVC', 'Spadel']",Food & Agriculture,https://www.ctvc.co/a-tale-of-two-fundraises-249/,CTVC,
ClearLeaf,4.0,['M7 Holdings'],Food & Agriculture,https://www.ctvc.co/a-tale-of-two-fundraises-249/,CTVC,Hawthorne Food Ventures
Termina,2.0,"['Archangel Ventures', 'Skalata Ventures']",Energy,https://www.ctvc.co/a-tale-of-two-fundraises-249/,CTVC,EVP
Groundley,1.0,,Built Environment,https://www.ctvc.co/a-tale-of-two-fundraises-249/,CTVC,Export and Investment Fund of Denmark (EIFO)
REplace,2.0,"['Adam/a', 'Techstars', 'Malbec Ventures']",Built Environment,https://www.ctvc.co/a-tale-of-two-fundraises-249/,CTVC,Gravity Climate
Believ,406.0,"['Zouk Capital', 'ABN AMRO', 'MUFG Bank', 'NatWest']",Mobility,https://www.ctvc.co/a-tale-of-two-fundraises-249/,CTVC,Liberty Global
GIGA Storage,343.0,,Energy,https://www.ctvc.co/a-tale-of-two-fundraises-249/,CTVC,
Eavor,65.0,,Energy,https://www.ctvc.co/a-tale-of-two-fundraises-249/,CTVC,Canada Growth Fund
Charbone Hydrogen,50.0,['True Green Capital'],Energy,https://www.ctvc.co/a-tale-of-two-fundraises-249/,CTVC,True Green Capital
mPower Technology,21.0,['Shield Capital'],Energy,https://www.ctvc.co/smrs-for-gpts-245/,CTVC,Razor's Edge Ventures
Alt Mobility,0.0,"['EV2 Ventures', 'Eurazeo', 'Shell Ventures']",Mobility,https://www.ctvc.co/smrs-for-gpts-245/,CTVC,Beyond Capital Ventures
Rainmaker,25.0,"['1517 Fund', 'Long Journey Ventures', 'Starship Ventures']",Water/Sustainability,https://www.ctvc.co/smrs-for-gpts-245/,CTVC,Lowercarbon Capital
Exterra Carbon Solutions,15.0,"['Clean Energy Ventures', 'BASF', 'Government Of Quebec', 'Investissement Québec']",Carbon,https://www.ctvc.co/smrs-for-gpts-245/,CTVC,BDC Capital
Solena Materials,7.0,"['Insempra', 'SynBioVen']",Food & Agriculture,https://www.ctvc.co/smrs-for-gpts-245/,CTVC,
Rewbi,4.0,"['SurgePoint', 'Aera', 'General Catalyst', 'Collab Fund']",Energy,https://www.ctvc.co/smrs-for-gpts-245/,CTVC,Y combinator
WeSky,1.0,['Other'],Mobility,https://www.ctvc.co/smrs-for-gpts-245/,CTVC,Coinvest Capital
Aypa Power,1100.0,"['ING Capital LLC', 'Nomura', 'Santander Corporate & Investment Banking (SCIB)', 'Société Générale']",Energy,https://www.ctvc.co/smrs-for-gpts-245/,CTVC,Apterra Infrastructure Capital
Ascend Elements,326.0,,Energy,https://www.ctvc.co/smrs-for-gpts-245/,CTVC,Poland Ministry of Economic Development and Technology
LAXEY,108.0,,Food & Agriculture,https://www.ctvc.co/smrs-for-gpts-245/,CTVC,Arion Bank
UrbanVolt,45.0,,"Energy (generation, storage, grid, batteries, fusion)",https://www.ctvc.co/smrs-for-gpts-245/,CTVC,HSBC
LAXEY,40.0,,Food & Agriculture,https://www.ctvc.co/smrs-for-gpts-245/,CTVC,
Niche Mobility,2.0,"['Clave Capital', 'Copreci', 'Mondragon']",Mobility,https://www.ctvc.co/smrs-for-gpts-245/,CTVC,
Twelve,0.0,['United Airlines Ventures'],"Carbon (carbon capture, removal, utilization, markets)",https://www.ctvc.co/smrs-for-gpts-245/,CTVC,United Airlines Ventures
TerraPower,650.0,"['Bill Gates', 'HD Hyundai', 'NVentures']",Energy,https://www.ctvc.co/epa-puts-corn-on-the-policy-menu-251/,CTVC,
